product,nmv,gmv,num_sold,num_reviews
ESQA Flawless Liquid Concealer,90.0,120.0,7200.0,2141
[New] ESQA Flawless Cushion Serum SPF 50+ PA+++ - Satin,160.0,208.0,4400.0,1262
ESQA Flawless Powder Foundation,99.0,135.0,7900.0,2175
ESQA Waterproof Intense Eyeliner,89.0,125.0,1300.0,367
ESQA Goddess Eyeshadow Palette - Peach,126.75,195.0,2400.0,660
ESQA Trio Goddess Cheek Palette - Athena,135.0,225.0,1900.0,528
ESQA Dream Lash Serum Mascara,75.05,79.0,95.0,30
ESQA Flawless Liquid Mini Concealer,46.55,49.0,6300.0,2136
ESQA Flawless Setting Powder,99.0,135.0,2700.0,793
ESQA Flawless Liquid Mini Corrector,46.55,49.0,268.0,102
ESQA Mist Universe Setting Spray,56.05,59.0,1000.0,265
ESQA Bronzer - Cabo,71.25,95.0,441.0,116
ESQA Blurred Haze Velvet Lip Tint,84.15,99.0,223.0,84
GIFT ESQA Dream Lash Serum Mascara - Volume,999.999,999.999,96.0,30
ESQA Blush On,78.75,105.0,1500.0,453
ESQA Bronzer - Havana,71.25,95.0,308.0,67
ESQA Minimalist Serum Concealer,55.0,55.0,111.0,33
ESQA Flawless Liquid Corrector,99.0,120.0,942.0,221
ESQA Minimalist Blurring Serum Skin Tint SPF 35 PA++,99.0,169.0,13.0,3
ESQA Glaze Eyeshadow Trio,66.3,79.0,717.0,308
ESQA Wonder Crush Serum Liquid Blush On,92.65,109.0,710.0,229
ESQA Goddess Eyeshadow Palette - Steel,126.75,195.0,326.0,133
ESQA Primer Serum,86.25,115.0,383.0,95
ESQA Lip Gloss - London,50.0,100.0,640.0,177
ESQA Goddess Eyeshadow Palette - Bronze,126.75,195.0,689.0,207
ESQA Freeze Tinted Brow Mascara,90.0,150.0,688.0,202
Barbieâ„¢ X ESQA Like A Boss Velvet Lip Tint,49.5,99.0,108.0,48
ESQA Supreme Hybrid Sun Stick SPF 50+ PA++++,83.4,139.0,253.0,99
ESQA Lip Gloss - Dubai,50.0,100.0,2500.0,701
ESQA (Refill) Flawless Cushion Serum SPF 50+ PA+++ - Satin,125.0,145.0,25.0,6
ESQA Brow Pomade Pencil,89.25,105.0,1500.0,486
ESQA Lip Gloss - Jakarta,50.0,100.0,1300.0,361
ESQA Lip Gloss - Tokyo,50.0,100.0,580.0,189
ESQA Cloud Kiss Refillable Powder Lipstick,92.65,109.0,91.0,30
ESQA Refill Cloud Kiss Powder Lipstick,75.0,75.0,29.0,14
ESQA Trio Goddess Cheek Palette - Aphrodite,135.0,225.0,437.0,117
GIFT ESQA Lip Gloss - Pink Dream,999.999,999.999,74.0,19
ESQA Goddess Eyeshadow Palette - Mauve,126.75,195.0,637.0,221
